Declare Date,Ex-Div Date,Record Date,Pay Date,Frequency,Amount,Adj. Amount
1/22/2021,12/17/2021,12/20/2021,1/31/2022,Quarterly,1.6364,1.6364
9/16/2021,9/17/2021,9/20/2021,10/29/2021,Quarterly,1.4281,1.4281
1/22/2021,6/18/2021,6/21/2021,7/30/2021,Quarterly,1.3759,1.3759
1/22/2021,3/19/2021,3/22/2021,4/30/2021,Quarterly,1.2778,1.2778
1/16/2020,12/18/2020,12/21/2020,1/29/2021,Quarterly,1.58,1.58
1/16/2020,9/18/2020,9/21/2020,10/30/2020,Quarterly,1.3392,1.3392
1/16/2020,6/19/2020,6/22/2020,7/31/2020,Quarterly,1.3662,1.3662
1/16/2020,3/20/2020,3/23/2020,4/30/2020,Quarterly,1.4056,1.4056
1/10/2019,12/20/2019,12/23/2019,1/31/2020,Quarterly,1.57,1.57
1/10/2019,9/20/2019,9/23/2019,10/31/2019,Quarterly,1.3836,1.3836
6/20/2019,6/21/2019,6/24/2019,7/31/2019,Quarterly,1.4316,1.4316
3/14/2019,3/15/2019,3/18/2019,4/30/2019,Quarterly,1.2331,1.2331
12/20/2018,12/21/2018,12/24/2018,1/31/2019,Quarterly,1.4354,1.4354
9/20/2018,9/21/2018,9/24/2018,10/31/2018,Quarterly,1.3226,1.3226
6/14/2018,6/15/2018,6/18/2018,7/31/2018,Quarterly,1.2456,1.2456
3/15/2018,3/16/2018,3/19/2018,4/30/2018,Quarterly,1.0968,1.0968
12/14/2017,12/15/2017,12/18/2017,1/31/2018,Quarterly,1.3513,1.3513
9/14/2017,9/15/2017,9/18/2017,10/31/2017,Quarterly,1.2346,1.2346
6/15/2017,6/16/2017,6/20/2017,7/31/2017,Quarterly,1.1831,1.1831
3/16/2017,3/17/2017,3/21/2017,4/28/2017,Quarterly,1.0331,1.0331
12/15/2016,12/16/2016,12/20/2016,1/31/2017,Quarterly,1.3289,1.3289
9/15/2016,9/16/2016,9/20/2016,10/31/2016,Quarterly,1.0821,1.0821
6/16/2016,6/17/2016,6/21/2016,7/29/2016,Quarterly,1.0784,1.0784
3/17/2016,3/18/2016,3/22/2016,4/29/2016,Quarterly,1.0496,1.0496
